produto,quantidade,preco,categoria,data
Smartphone Samsung Galaxy A54,150,1299.90,Eletrônicos,2024-01-15
Notebook Dell Inspiron 15,45,3499.00,Informática,2024-01-16
Fone de Ouvido JBL Tune 510BT,320,189.90,Eletrônicos,2024-01-17
Mouse Logitech MX Master 3,89,449.00,Informática,2024-01-18
Teclado Mecânico Redragon K552,125,299.90,Informática,2024-01-19
Smart TV LG 50 Polegadas,67,2199.00,Eletrônicos,2024-01-20
Cadeira Gamer DT3 Sports,34,899.00,Móveis,2024-01-21
Webcam Logitech C920,156,389.00,Informática,2024-01-22
Smartphone Xiaomi Redmi Note 12,210,1099.00,Eletrônicos,2024-01-23
Monitor LG 27 Ultrawide,52,1599.00,Informática,2024-01-24
Headset HyperX Cloud II,98,499.00,Eletrônicos,2024-01-25
SSD Kingston 480GB,234,299.00,Informática,2024-01-26
Mousepad Gamer Grande,445,49.90,Acessórios,2024-01-27
Smartphone Motorola Edge 40,178,1899.00,Eletrônicos,2024-01-28
Notebook Lenovo IdeaPad 3,38,2799.00,Informática,2024-01-29
Caixa de Som JBL Flip 5,267,599.00,Eletrônicos,2024-01-30
HD Externo Seagate 1TB,189,349.00,Informática,2024-01-31
Carregador Portátil Anker 10000mAh,412,129.90,Acessórios,2024-02-01
Tablet Samsung Galaxy Tab A8,76,1299.00,Eletrônicos,2024-02-02
Suporte para Notebook Articulado,203,89.90,Acessórios,2024-02-03
